"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:37 AM","—","Monday, November 17, 2025 at 11:37 AM","Put Sweep","NVDA","185","03/20/2026","Put","Ask","222","$415.1K","265","14,959","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:38 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","710","948","a day ago","11:38 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:39 AM","Put Sweep","HOOD","115","11/28/2025","Put","Ask","1,000","$540K","3,156","1,574","a day ago","11:39 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:40 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","910","948","a day ago","11:40 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:42 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","1,315","948","a day ago","11:42 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:42 AM","Put Sweep","NVS","135","04/17/2026","Put","Ask","475","$408.5K","475","432","a day ago","11:42 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:43 AM","Put Sweep","BRBR","27.5","11/21/2025","Put","Above","1,355","$450.7K","1,371","3,106","a day ago","11:43 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:44 AM","Put Sweep","COST","950","03/20/2026","Put","Ask","200","$1.4M","1,515","948","a day ago","11:44 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:44 AM","—","Monday, November 17, 2025 at 11:44 AM","Call Sweep","GLD","374","11/21/2025","Call","Ask","1,000","$455K","1,210","2,310","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:44 AM","Put Sweep","GLD","376","11/21/2025","Put","Above","1,443","$743.3K","2,291","2,470","a day ago","11:44 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:45 AM","Call Sweep","HUT","40","11/21/2025","Call","Ask","2,998","$659.6K","5,293","3,335","a day ago","11:45 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:46 AM","Unusual Call Sweep","TSLA","415","12/19/2025","Call","Above","850","$2.5M","6,106","1,178","a day ago","11:46 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:47 AM","Call Sweep","TSLA","440","11/21/2025","Call","Above","1,061","$414K","28,177","19,341","a day ago","11:47 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:49 AM","Call Sweep","TSLA","940","09/18/2026","Call","Ask","599","$886.5K","4,516","17,934","a day ago","11:49 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 11:53 AM","—","Monday, November 17, 2025 at 11:53 AM","Call Sweep","TSLA","940","09/18/2026","Call","Ask","300","$451.5K","4,934","17,934","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 11:53 AM","Call Sweep","TSLA","940","09/18/2026","Call","Above","502","$757.5K","5,436","17,934","a day ago","11:53 AM","]"
"","","","","[","Monday, November 17, 2025 at 11:56 AM","Unusual Call Sweep","TSLA","420","11/21/2025","Call","Above","361","$406.2K","75,665","22,235","a day ago","11:56 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:00 PM","—","Monday, November 17, 2025 at 12:00 PM","Unusual Call Sweep","TSLA","417.5","11/28/2025","Call","Ask","239","$407.5K","1,697","476","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 12:03 PM","Unusual Put Sweep","RGTI","28","12/12/2025","Put","Ask","1,455","$683.9K","1,489","67","a day ago","12:03 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:04 PM","Call Sweep","NVDA","210","12/19/2025","Call","Ask","4,000","$1.6M","8,952","40,553","a day ago","12:04 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:04 PM","Put Sweep","NVDA","200","01/16/2026","Put","Ask","242","$497.3K","599","13,256","a day ago","12:04 PM","]"
"","","","","[","Monday, November 17, 2025 at 12:06 PM","Put Sweep","GLD","375","11/21/2025","Put","Ask","1,500","$682.5K","1,874","47,869","a day ago","12:06 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:12 PM","—","Monday, November 17, 2025 at 12:12 PM","Call Sweep","MU","280","03/20/2026","Call","Ask","200","$634K","1,509","900","a day ago","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:27 PM","—","Monday, November 17, 2025 at 12:27 PM","Put Sweep","NVDA","180","01/16/2026","Put","Ask","750","$761.3K","2,520","36,258","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 12:28 PM","Call Sweep","META","610","12/19/2025","Call","Ask","200","$476K","482","2,596","a day ago","12:28 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:02 PM","—","Monday, November 17, 2025 at 1:02 PM","Call Sweep","GOOGL","260","12/19/2025","Call","Ask","250","$753.8K","8,836","19,034","a day ago","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:16 PM","—","Monday, November 17, 2025 at 1:16 PM","Call Sweep","IREN","60","03/20/2026","Call","Ask","499","$476.5K","5,970","12,939","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 1:18 PM","Call Sweep","NVDA","180","11/21/2025","Call","Ask","1,000","$1.1M","8,254","134,721","a day ago","1:18 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:24 PM","—","Monday, November 17, 2025 at 1:24 PM","Unusual Call Sweep","BMNR","33","01/21/2028","Call","Above","550","$1M","579","79","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 1:25 PM","Call Sweep","GOOG","325","02/20/2026","Call","Ask","433","$420K","1,086","1,900","a day ago","1:25 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:28 PM","Put Sweep","NVO","45","01/16/2026","Put","Ask","3,530","$794.3K","4,226","30,347","a day ago","1:28 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:30 PM","Put Sweep","GLD","370","01/16/2026","Put","Ask","658","$625.1K","690","5,500","a day ago","1:30 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:31 PM","—","Monday, November 17, 2025 at 1:31 PM","Put Sweep","TSLA","410","11/21/2025","Put","Ask","499","$481.5K","33,916","14,291","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 1:34 PM","Unusual Call Sweep","NVDA","175","12/05/2025","Call","Ask","1,896","$3.2M","17,397","596","a day ago","1:34 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:38 PM","Put Sweep","PLTR","155","03/20/2026","Put","Ask","300","$444K","786","1,954","a day ago","1:38 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:39 PM","—","Monday, November 17, 2025 at 1:39 PM","Put Sweep","PLTR","155","03/20/2026","Put","Ask","400","$596K","1,208","1,954","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 1:39 PM","Put Sweep","HOOD","70","06/18/2026","Put","Ask","1,000","$520K","2,301","1,901","a day ago","1:39 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:39 PM","Put Sweep","HOOD","70","06/18/2026","Put","Ask","1,000","$520K","3,315","1,901","a day ago","1:39 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:40 PM","Put Sweep","PLTR","155","03/20/2026","Put","Ask","400","$594K","1,608","1,954","a day ago","1:40 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:41 PM","Put Sweep","HOOD","70","06/18/2026","Put","Ask","1,000","$520K","4,320","1,901","a day ago","1:41 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:44 PM","Put Sweep","TSLA","410","11/21/2025","Put","Above","500","$458.2K","37,417","14,291","a day ago","1:44 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:46 PM","—","Monday, November 17, 2025 at 1:46 PM","Put Sweep","NVDA","180","01/16/2026","Put","Above","650","$696.4K","3,603","36,258","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 1:46 PM","Put Sweep","IBIT","49","01/16/2026","Put","Ask","1,508","$417.7K","1,638","6,328","a day ago","1:46 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:48 PM","Put Sweep","PLTR","155","03/20/2026","Put","Ask","400","$604K","2,808","1,954","a day ago","1:48 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:51 PM","Call Sweep","NVDA","190","06/18/2026","Call","Ask","1,150","$3.2M","1,272","30,641","a day ago","1:51 PM","]"
"","","","","[","Monday, November 17, 2025 at 1:51 PM","Put Sweep","MSTR","210","11/21/2025","Put","Ask","205","$422.3K","2,008","7,691","a day ago","1:51 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:01 PM","—","Monday, November 17, 2025 at 2:01 PM","Unusual Call Sweep","AMGN","410","12/18/2026","Call","Ask","500","$780K","503","7","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 2:06 PM","Put Sweep","COIN","200","06/18/2026","Put","Ask","1,785","$3.8M","1,808","2,807","a day ago","2:06 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:08 PM","—","Monday, November 17, 2025 at 2:08 PM","Put Sweep","COIN","200","06/18/2026","Put","Ask","605","$1.3M","2,823","2,807","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 2:12 PM","Put Sweep","AAPL","240","01/16/2026","Put","Ask","1,993","$474.3K","4,522","19,160","a day ago","2:12 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:30 PM","—","Monday, November 17, 2025 at 2:30 PM","Call Sweep","GOOGL","295","06/17/2027","Call","Ask","233","$1.3M","540","2,369","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 2:34 PM","Call Sweep","NVDA","185","11/21/2025","Call","Ask","2,004","$1.4M","20,798","44,777","a day ago","2:34 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:38 PM","—","Monday, November 17, 2025 at 2:38 PM","Put Sweep","META","600","01/16/2026","Put","Ask","250","$782.5K","1,073","13,699","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 2:40 PM","Call Sweep","BMNR","40","01/16/2026","Call","Ask","2,500","$775K","4,191","8,500","a day ago","2:40 PM","]"
"","","","","[","Monday, November 17, 2025 at 2:41 PM","Put Sweep","ORCL","175","09/18/2026","Put","Ask","388","$692.6K","399","1,373","a day ago","2:41 PM","]"
"","","","","[","Monday, November 17, 2025 at 2:43 PM","Call Sweep","NVDA","195","12/18/2026","Call","Above","193","$677.5K","990","2,656","a day ago","2:43 PM","]"
"","","","","[","Monday, November 17, 2025 at 2:45 PM","Put Sweep","XLE","89","01/16/2026","Put","Ask","5,003","$1.3M","8,209","7,884","a day ago","2:45 PM","]"
"","","","","[","Monday, November 17, 2025 at 2:45 PM","Unusual Put Sweep","KKR","115","01/21/2028","Put","Ask","228","$490.2K","328","4","a day ago","2:45 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:47 PM","—","Monday, November 17, 2025 at 2:47 PM","Unusual Put Sweep","KKR","115","01/21/2028","Put","Ask","241","$520.6K","742","4","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 2:50 PM","Put Sweep","NVDA","185","12/19/2025","Put","Ask","500","$560K","4,186","23,766","a day ago","2:50 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:54 PM","—","Monday, November 17, 2025 at 2:54 PM","Unusual Put Sweep","KKR","115","01/21/2028","Put","Ask","252","$546.8K","1,004","4","a day ago","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:07 PM","—","Monday, November 17, 2025 at 3:07 PM","Put Sweep","IBIT","50","12/19/2025","Put","Above","2,501","$577.8K","10,836","19,216","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 3:08 PM","Put Sweep","IBIT","50","12/19/2025","Put","Above","2,500","$583.2K","13,348","19,216","a day ago","3:08 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:10 PM","Put Sweep","MU","230","11/21/2025","Put","Ask","966","$434.7K","2,997","3,216","a day ago","3:10 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:11 PM","Put Sweep","DELL","135","11/28/2025","Put","Ask","250","$418.8K","314","1,087","a day ago","3:11 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:13 PM","Put Sweep","PDD","120","12/19/2025","Put","Ask","2,185","$489.4K","2,823","11,340","a day ago","3:13 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:13 PM","Call Sweep","META","570","12/18/2026","Call","Ask","186","$2.2M","193","302","a day ago","3:13 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:15 PM","—","Monday, November 17, 2025 at 3:15 PM","Put Sweep","DELL","135","11/28/2025","Put","Ask","250","$418.8K","564","1,087","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 3:15 PM","Call Sweep","AAPL","250","12/12/2025","Call","Ask","788","$1.5M","831","834","a day ago","3:15 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:19 PM","Put Sweep","XLK","275","12/19/2025","Put","Ask","1,182","$827.4K","1,213","2,825","a day ago","3:19 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:20 PM","Unusual Call Sweep","MSTR","190","11/21/2025","Call","Ask","450","$427.5K","4,277","166","a day ago","3:20 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:21 PM","Call Sweep","NFLX","104","12/19/2025","Call","Ask","600","$489K","650","0","a day ago","3:21 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:22 PM","—","Monday, November 17, 2025 at 3:22 PM","Call Sweep","S","19","03/20/2026","Call","Ask","3,201","$400.1K","3,203","5,481","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 3:24 PM","Put Sweep","ORCL","220","03/20/2026","Put","Ask","182","$504.1K","619","4,568","a day ago","3:24 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:24 PM","Put Sweep","ORCL","220","03/20/2026","Put","Ask","182","$504.1K","619","4,568","a day ago","3:24 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:38 PM","—","Monday, November 17, 2025 at 3:38 PM","Call Sweep","INTC","35","09/18/2026","Call","Above","1,120","$776.8K","1,185","3,708","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 3:38 PM","Call Sweep","BABA","150","01/16/2026","Call","Ask","290","$472.7K","345","13,680","a day ago","3:38 PM","]"
"","","","","[","Monday, November 17, 2025 at 3:44 PM","Call Sweep","IREN","40","01/15/2027","Call","Ask","250","$616.3K","822","14,025","a day ago","3:44 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:45 PM","—","Monday, November 17, 2025 at 3:45 PM","Put Sweep","TSLA","380","12/19/2025","Put","Ask","500","$682.5K","2,771","9,351","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 3:48 PM","Call Sweep","IREN","35","01/15/2027","Call","Ask","475","$1.3M","482","12,557","a day ago","3:48 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:58 PM","—","Monday, November 17, 2025 at 3:58 PM","Unusual Put Sweep","MU","230","11/21/2025","Put","Above","900","$411.6K","10,932","3,216","a day ago","",""
"","","","","[","Monday, November 17, 2025 at 4:00 PM","Put Sweep","CLSK","9","01/16/2026","Put","Ask","5,000","$480K","5,284","2,197","a day ago","4:00 PM","]"
"","","","","[","Monday, November 17, 2025 at 4:02 PM","Call Sweep","COIN","340","12/18/2026","Call","Above","334","$1.7M","334","189","a day ago","4:02 PM","]"
"","","","","[","Monday, November 17, 2025 at 4:05 PM","Call Sweep","NVDA","185","08/21/2026","Call","Ask","181","$592.8K","296","2,192","a day ago","4:05 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:49 AM","—","Tuesday, November 18, 2025 at 9:49 AM","Call Sweep","NVDA","180","11/21/2025","Call","Above","2,001","$1.8M","2,711","134,589","10 hours ago","",""
"","","","","[","Tuesday, November 18, 2025 at 9:50 AM","Call Sweep","NVDA","195","11/21/2025","Call","Above","3,587","$929.8K","18,679","80,874","10 hours ago","9:50 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 9:53 AM","Put Sweep","ETHA","30","03/20/2026","Put","Ask","498","$420.8K","498","5,474","10 hours ago","9:53 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 9:54 AM","Call Sweep","COIN","270","11/21/2025","Call","Above","528","$438.1K","1,791","3,990","10 hours ago","9:54 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 9:55 AM","Call Sweep","AMZN","235","06/18/2026","Call","Ask","434","$1.1M","627","4,189","10 hours ago","9:55 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:01 AM","—","Tuesday, November 18, 2025 at 10:01 AM","Put Sweep","NVDA","172.5","11/21/2025","Put","Ask","9,745","$2.7M","12,794","9,398","10 hours ago","",""
"","","","","[","Tuesday, November 18, 2025 at 10:02 AM","Put Sweep","TSLA","400","11/21/2025","Put","Above","694","$714.6K","18,987","33,494","10 hours ago","10:02 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:07 AM","Call Sweep","NVDA","200","06/18/2026","Call","Ask","200","$412K","362","52,277","10 hours ago","10:07 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:10 AM","—","Tuesday, November 18, 2025 at 10:10 AM","Highly Unusual Put Sweep","NVDA","155","11/28/2025","Put","Ask","9,845","$984.5K","10,425","3,974","10 hours ago","",""
"","","","","[","Tuesday, November 18, 2025 at 10:11 AM","Put Sweep","NVDA","185","11/21/2025","Put","Above","2,538","$2.4M","9,271","70,948","10 hours ago","10:11 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:11 AM","Put Sweep","NVDA","205","12/12/2025","Put","Ask","244","$651.5K","259","645","10 hours ago","10:11 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:12 AM","Put Sweep","NVDA","180","11/21/2025","Put","Above","17,132","$11.4M","26,512","85,595","10 hours ago","10:12 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:13 AM","Put Sweep","ARM","140","03/20/2026","Put","Above","403","$790.2K","1,622","3,681","10 hours ago","10:13 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:16 AM","Put Sweep","NVDA","182.5","11/21/2025","Put","Ask","502","$406.6K","6,971","15,691","10 hours ago","10:16 AM","]"
"","","","","[","Tuesday, November 18, 2025 at 10:17 AM","Call Sweep","UNH","410","01/15/2027","Call","Ask","500","$1.2M","501","1,789","10 hours ago","10:17 AM","]"
